dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
66.386,118.0972,0,95.5609,220.8208,0,27.6026,450.9007,78.95679999999999,148.1024,78.95679999999999,78.95679999999999,206.50239999999997,275.64799999999997,108.15679999999999,206.50239999999997
52.193,92.8486,87.0799,173.6104,173.6104,110.01735,888.79185,868.18935,155.124,105.7512,155.124,56.3784,147.4512,196.824,77.22840000000001,147.4512
121.40279999999998,158.37319999999997,116.15699999999998,157.87359999999998,263.03939999999994,196.96729999999997,817.4704999999999,789.4928999999998,134.41600000000003,177.19786666666667,177.19786666666667,134.41600000000003,240.93706666666668,240.93706666666668,240.93706666666668,240.93706666666668
115.35210000000001,150.47990000000001,110.36775,249.92955,249.92955,187.150475,776.727875,4631.1732,203.03480000000002,203.03480000000002,163.54840000000002,163.54840000000002,278.53920000000005,382.99140000000006,334.70060000000007,222.37780000000004
179.76616,213.7884,174.93868,324.47562,365.27932,271.2584,4253.23976,4485.41856,192.86784,192.86784,230.37696,155.35872,408.79872,363.81312,317.94048,317.94048
242.4422,242.4422,204.43410000000003,364.7878,357.3661,312.72345,4161.0998,5109.9529,258.47173333333336,266.54133333333334,258.47173333333336,222.28080000000003,394.4322666666667,445.90653333333336,410.5714666666667,402.5018666666667
238.6076,271.36634285714285,201.20065714285715,359.0181142857143,405.6107857142857,307.7772428571429,5323.7384,5122.869757142857,251.7472,310.57554285714286,251.7472,259.6068571428571,434.30559999999997,527.5497142857142,515.8793142857143,392.0301714285714
268.09555,300.45945,263.503375,479.11692500000004,532.3642875,428.4936625,5275.75305,5061.123537500001,296.6514,404.2488,296.6514,254.406,564.1278,566.1117,505.5444,497.8422
338.22222222222223,305.33333333333337,300.6666666666667,580.4444444444445,541,489.5555555555556,5369.555555555556,5700,282.44444444444446,384.8888888888889,282.44444444444446,3744.2222222222226,574.6666666666667,539,575.6666666666667,474.00000000000006
296,310.6666666666667,364.5555555555556,519.6666666666667,454.6666666666667,543.6666666666667,5352,5413.222222222223,323.44444444444446,362,306.8888888888889,3732.444444444445,476.44444444444446,3864.666666666667,561.7777777777778,4099.666666666667
336.22222222222223,358.22222222222223,294.11111111111114,3852.777777777778,579.2222222222223,4164.333333333334,5205.444444444445,7788.666666666667,288.6666666666667,3842.2222222222226,3766.666666666667,3732.444444444445,3947.888888888889,4169.333333333334,4294.88888888889,4099.666666666667
3713.2222222222226,323.44444444444446,3703.3333333333335,3852.777777777778,539.7777777777778,4078.1111111111113,5304.222222222223,8491.77777777778,288.6666666666667,3776.444444444445,3733.777777777778,3666.666666666667,3860.888888888889,4131.777777777778,4161.111111111111,4012.666666666667
3713.2222222222226,323.44444444444446,3719.888888888889,4087.7777777777783,539.7777777777778,4118.555555555556,5304.222222222223,4858.111111111111,3727.0000000000005,3743.5555555555557,3759.5555555555557,3633.777777777778,4185,3998.0000000000005,4126.444444444444,4012.666666666667
3647.444444444445,3723.0000000000005,3654.1111111111113,4008.1111111111113,4117.111111111111,4559.88888888889,2067.1111111111113,6802.88888888889,3727.0000000000005,3743.5555555555557,3693.777777777778,3633.777777777778,4058.5555555555557,3998.0000000000005,4126.444444444444,3959.5555555555557
3730.0000000000005,3690.1111111111113,3762.2222222222226,3961.3333333333335,4157.555555555556,4513.111111111111,2324,7230.222222222223,3661.2222222222226,3818.777777777778,3794.777777777778,3568.0000000000005,4607.88888888889,3911.777777777778,4032.1111111111113,3872.5555555555557
3730.0000000000005,3683.0000000000005,3809.777777777778,4715.777777777778,4103.444444444444,4757.555555555556,1090.6666666666667,7794.222222222223,3849.777777777778,3771.2222222222226,3809.2222222222226,3690.5555555555557,4709.555555555556,4566.333333333334,4640.333333333334,4588.333333333334
3759.1111111111113,3798.444444444445,3744.0000000000005,4589.333333333334,4010.1111111111113,4668.666666666667,1621.2222222222224,7794.222222222223,3802.2222222222226,3738.1111111111113,3823.666666666667,3730.777777777778,4664.88888888889,4573.666666666667,4715.444444444444,4555.222222222223
3740.888888888889,3798.444444444445,3773.1111111111113,4636.88888888889,4715.222222222223,4614.555555555556,1852.7777777777778,10360.555555555557,3864.2222222222226,3785.666666666667,3823.666666666667,228.7777777777778,4627.333333333334,4573.666666666667,6926.444444444445,4555.222222222223
3785.777777777778,3784.666666666667,3752.2222222222226,4636.88888888889,4719.88888888889,4668.444444444444,1852.7777777777778,10360.555555555557,3785.666666666667,3738.1111111111113,7887.666666666667,4323.777777777778,5224.444444444445,1743.7777777777778,6888.88888888889,3139.5555555555557
3745.5555555555557,3784.666666666667,3814.2222222222226,1303.888888888889,4595.333333333334,1017.5555555555557,2874.666666666667,9224.555555555557,7836.88888888889,4364,4362.111111111111,4323.777777777778,1753.0000000000002,3237.444444444445,3256.666666666667,3247.777777777778
372.11111111111114,3753.666666666667,372.11111111111114,1893.6666666666667,6858.111111111111,1017.5555555555557,2767.666666666667,14867.111111111111,7836.88888888889,4395,4424.111111111111,4385.777777777778,3574.666666666667,3329.1111111111113,3256.666666666667,3247.777777777778
4455.444444444444,7858.111111111111,4454.777777777778,3311.3333333333335,6928.777777777778,3304.666666666667,2958,14867.111111111111,4411.333333333334,4395,4398.333333333334,334211.6246222222,3257.888888888889,334413.15111111116,336791.8097777778,335452.12720000005
4495.666666666667,4392.777777777778,4485.777777777778,3382.0000000000005,3232.3333333333335,2776.3333333333335,9642.666666666668,338041.9941333333,4442.444444444444,332913.4935111111,335503.1464,334211.6246222222,334743.3451555556,334413.15111111116,336791.8097777778,335448.74604444444
4347.333333333334,4440.333333333334,4344.777777777778,3382.0000000000005,310374.91065555555,2813.888888888889,9385.77777777778,338013.8251555555,4442.444444444444,335076.1603111111,335491.9532888889,337707.9947555555,334544.6666666667,336556.8526666667,336858.91315555555,335513.99151111115
8944.222222222223,16589.777777777777,8902.333333333334,310667.3445777777,312543.6403888889,310625.69173333334,9628.333333333334,382234.39585555554,335493.20857777784,337900.6223555556,493172.3174666667,337694.38653333334,334396.22222222225,336226.7777777778,336444,335162.1111111111
8882.222222222223,317711.30056666664,314204.8476222222,312691.4101333333,312551.2719444445,312638.76071111107,9295.444444444445,382234.39585555554,339060.1793333334,337895.43915555556,1025373.4222666668,2089367.1056000001,334309,336189.22222222225,336368.88888888893,335087
314476.4596666667,317711.30056666664,314203.31622222223,312718.54253333336,312549.1646222222,312638.76071111107,9055.666666666668,382447.09708888887,901048.6265333333,738171.3086222224,1025373.4222666668,2343165.304311111,334309,336189.22222222225,334063.55555555556,335087
316422.6663666667,708459.7219222222,316369.0317111111,312718.54253333336,312547.7128111111,312636.09311111114,9170,382447.09708888887,901048.6265333333,738171.3086222224,1426062.5363999999,2342825.3974222224,333711.88888888893,335562.3333333334,334063.55555555556,332778.7777777778
