dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
176.5674,0,0,301.5486,70.8786,0,481.0518,151.8228,186.6714,0,93.3357,93.3357,131.2464,65.6232,131.2464,319.248
130.38369999999998,130.38369999999998,130.38369999999998,222.6743,52.339299999999994,52.339299999999994,912.84075,112.11139999999999,135.4357,67.71785,135.4357,67.71785,95.22319999999999,47.611599999999996,326.8472,279.2356
229.97826666666668,114.98913333333334,229.97826666666668,398.6381,242.67896666666667,242.81553333333335,805.0605,484.53853333333336,236.71426666666667,177.53570000000002,236.71426666666667,177.53570000000002,124.8232,202.13486666666668,285.63146666666665,244.02373333333335
268.22962499999994,214.58369999999996,214.58369999999996,409.67137499999995,226.43422499999997,226.56164999999996,758.0513249999999,452.10389999999995,219.63569999999999,164.72677499999998,219.63569999999999,274.544625,264.632325,264.76275,443.96669999999995,375.62399999999997
308.02043999999995,256.68369999999993,256.68369999999993,392.03709999999995,288.87585999999993,252.90355999999997,725.4210599999999,702.1305199999999,314.0828399999999,253.52925999999997,261.73569999999995,261.73569999999995,325.89513999999997,386.20003999999994,423.25335999999993,431.70847999999995
348.5809833333333,298.78369999999995,248.98641666666666,550.4906333333333,280.21321666666665,380.39919999999995,1193.0057,4374.5908,354.4749833333333,245.25771666666665,253.19641666666666,303.8357,315.26261666666664,373.60003333333333,452.98703333333333,555.1075833333333
389.5813714285714,340.8837,340.8837,572.5735714285714,406.1223857142857,406.23805714285714,1615.4671714285714,4277.992114285714,395.35508571428574,304.26377142857143,345.9357,393.3595285714286,441.7224428571429,407.0936571428571,442.07460000000003,541.7350714285715
471.22459999999995,335.11073749999997,430.85666249999997,562.8768749999999,466.5623875,399.3583,1588.108775,4430.0115749999995,388.0357,298.6308,402.2068375,386.0770875,482.62516250000004,399.55695000000003,622.4931375000001,580.7862125
460.44444444444446,428.33333333333337,421.00000000000006,709.7777777777778,597.6666666666667,550,1563.7777777777778,4368.88888888889,475.11111111111114,396.22222222222223,387.8888888888889,464.00000000000006,465.44444444444446,559.7777777777778,647.8888888888889,560.1111111111112
421.00000000000006,428.33333333333337,529.2222222222223,615.7777777777778,560.1111111111112,550,1308.888888888889,4288.444444444444,435.6666666666667,471.33333333333337,428.33333333333337,471.33333333333337,541.1111111111112,588.8888888888889,5429.88888888889,558.2222222222223
