dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
156.78040000000001,78.39020000000001,0,0,17.8752,202.2132,87.6943,0,161.6408,137.06140000000002,0,0
180.7353,171.29070000000002,211.93110000000001,90.72540000000001,13.7376,155.4066,194.69145,64.89715000000001,119.6204,323.0984,45.6284,91.2568
216.78693333333334,216.78693333333334,228.75913333333335,228.6304,455.07233333333335,325.4378666666667,171.8943,114.5962,171.8943,285.2656,235.9974,80.5712
255.86275,204.6902,215.99435,215.8728,442.80665000000005,307.27840000000003,213.99429999999998,106.99714999999999,160.495725,303.9634,220.34805,258.089325
246.79020000000003,246.79020000000003,376.9266,277.62432,427.10532000000006,13181.17596,256.09430000000003,204.87544000000003,256.09430000000003,327.0220800000001,246.96980000000005,283.10282000000007
337.03856666666667,240.74183333333332,401.54136666666665,435.3939,1284.3376666666666,12858.129966666665,347.89335000000005,198.79620000000003,248.49525000000003,452.1315000000001,409.51545000000004,274.70235
378.2745142857143,330.9902,394.3354571428572,427.58048571428577,1272.0716000000002,12644.117657142859,340.2943,291.6808285714286,340.2943,533.4780000000001,400.57038571428575,434.6344571428572
373.0902,326.45392499999997,548.225475,454.509825,1254.63765,12470.827949999999,374.900825,334.5950125,334.5950125,524.54325,468.5692625,460.96225
467.7777777777778,428.33333333333337,582.7777777777778,630.3333333333334,1270.4444444444446,12695.111111111111,442.00000000000006,395.22222222222223,419.11111111111114,676.6666666666667,458.5555555555556,451.11111111111114
421.00000000000006,456.6666666666667,582.7777777777778,630.3333333333334,1265.7777777777778,12574.444444444445,395.22222222222223,395.22222222222223,387,603.5555555555555,622,623.5555555555555
374.22222222222223,370.44444444444446,585.3333333333334,715.7777777777778,1265.7777777777778,12614.666666666668,372.33333333333337,443.00000000000006,457.6666666666667,611.2222222222223,589.1111111111112,557.7777777777778
435.6666666666667,403.5555555555556,552.4444444444445,588.8888888888889,1124,12600.666666666668,426.44444444444446,471.33333333333337,403.5555555555556,680.5555555555557,596.6666666666667,730.3333333333334
